iteration,mu_friction_coeff,chain_tension_N,power_W,chain_speed_ms,efficiency_11sp_pct,efficiency_12sp_pct,delta_efficiency_pct,loss_11sp_pct,loss_12sp_pct
281,0.003274,915.52,247.48,0.2703,96.3986,96.6114,0.2128,3.6014,3.3886
282,0.003992,969.8,278.9,0.2876,95.6083,95.8678,0.2595,4.3917,4.1322
283,0.003332,787.66,257.81,0.3273,96.3348,96.5514,0.2166,3.6652,3.4486
284,0.003863,976.61,155.38,0.1591,95.7505,96.0016,0.2511,4.2495,3.9984
285,0.002896,894.59,288.14,0.3221,96.8146,97.0029,0.1882,3.1854,2.9971
286,0.004196,933.9,215.1,0.2303,95.384,95.6567,0.2728,4.616,4.3433
287,0.002938,895.47,280.89,0.3137,96.7684,96.9594,0.191,3.2316,3.0406
288,0.003421,915.96,285.51,0.3117,96.2367,96.4591,0.2224,3.7633,3.5409
289,0.002864,950.69,194.01,0.2041,96.8492,97.0354,0.1862,3.1508,2.9646
290,0.003325,729.49,229.67,0.3148,96.3427,96.5589,0.2161,3.6573,3.4411
291,0.003592,949.46,175.5,0.1848,96.0485,96.282,0.2335,3.9515,3.718
292,0.002911,976.09,242.96,0.2489,96.7984,96.9876,0.1892,3.2016,3.0124
293,0.003137,990.36,171.47,0.1731,96.5491,96.753,0.2039,3.4509,3.247
294,0.003446,766.35,188.3,0.2457,96.2098,96.4338,0.224,3.7902,3.5662
295,0.002813,953.58,285.18,0.2991,96.9055,97.0884,0.1829,3.0945,2.9116
296,0.003749,733.71,216.26,0.2947,95.8765,96.1201,0.2437,4.1235,3.8799
297,0.003284,879.77,245.84,0.2794,96.3878,96.6013,0.2134,3.6122,3.3987
298,0.003394,765.03,276.8,0.3618,96.2666,96.4872,0.2206,3.7334,3.5128
299,0.003079,810.8,222.48,0.2744,96.6132,96.8133,0.2001,3.3868,3.1867
300,0.003132,874.45,236.22,0.2701,96.5547,96.7583,0.2036,3.4453,3.2417
301,0.00419,780.38,296.69,0.3802,95.3913,95.6636,0.2723,4.6087,4.3364
302,0.003722,773.32,234.89,0.3037,95.9063,96.1482,0.2419,4.0937,3.8518
303,0.00376,933.19,157.36,0.1686,95.8639,96.1083,0.2444,4.1361,3.8917
304,0.003649,848.89,285.62,0.3365,95.9861,96.2233,0.2372,4.0139,3.7767
305,0.003201,951.61,241.06,0.2533,96.4793,96.6873,0.208,3.5207,3.3127
306,0.003293,896.45,243.13,0.2712,96.3774,96.5915,0.2141,3.6226,3.4085
